positionId,positionName,committeeId,committeeName,schoolId,schoolName,,,,,,In DB,,,,school,,,,
783,Friedrich Daniel Bassermann,113,Frankfurt Parliament (1848),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
794,Rudolf Haym,113,Frankfurt Parliament (1848),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
367,Indonesia,105,GA Plenary,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
371,Phillippines,105,GA Plenary,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
495,Editor of El País (main Catholic Newspaper in Mexico),82,Mexican Constitutional Congress (1917),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
797,Ethiopia,112,Organization of African Unity (1963),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
466,Ward 3: Councilman James O’Halligan,78,Providence City Council (1975),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
427,France,101,Security Council,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
433,Indonesia,101,Security Council,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
440,Cambodia,111,Special Political and Decolonization Committee,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
445,Mali,111,Special Political and Decolonization Committee,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
712,Japan,85,UN Climate Change Conference (2020),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
729,Colombia,85,UN Climate Change Conference (2020),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
311,Mexico,103,United Nations Economic and Social Council,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
317,Philipines,103,United Nations Economic and Social Council,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
407,China,108,"United Nations Educational, Scientific, and Cultural Organization",148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
403,Bangladesh,108,"United Nations Educational, Scientific, and Cultural Organization",148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
528,Howard Metzenbaum - Ohio,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),120,Forman School,,,,,,,,,,,,,,
62,Madagascar ,97,Disarmament and International Security Committee,120,Forman School,,,,,,,,,,,,,,
63,Vietnam ,97,Disarmament and International Security Committee,120,Forman School,,,,,,,,,,,,,,
512,Francois Denis Tronchet,80,Estates General (1789),120,Forman School,,,,,,,,,,,,,,
736,Ahmed Ben Bella,89,Post-Colonial Algeria (1962),120,Forman School,,,,,,,,,,,,,,
743,Alphonse Juin,89,Post-Colonial Algeria (1962),120,Forman School,,,,,,,,,,,,,,
672,Catherine C. Paine,87,Seneca Falls Convention (1848),120,Forman School,,,,,,,,,,,,,,
666,Mary Ann M’Clintock,87,Seneca Falls Convention (1848),120,Forman School,,,,,,,,,,,,,,
409,France,108,"United Nations Educational, Scientific, and Cultural Organization",120,Forman School,,,,,,,,,,,,,,
401,Azerbaijan,108,"United Nations Educational, Scientific, and Cultural Organization",120,Forman School,,,,,,,,,,,,,,
79,Jordan,98,United Nations Human Rights Council,120,Forman School,,,,,,,,,,,,,,
99,Yemen,98,United Nations Human Rights Council,120,Forman School,,,,,,,,,,,,,,
576,Australia,95,Accelerando 2030,89,Fryeburg Academy,,,,,,,,,,,,,,
595,Position 8,81,Ad-Hoc,89,Fryeburg Academy,,,,,,,,,,,,,,
538,Orrin Hatch - Utah,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),89,Fryeburg Academy,,,,,,,,,,,,,,
496,Anne Louis Henri de La Fare,80,Estates General (1789),89,Fryeburg Academy,,,,,,,,,,,,,,
660,Maurizio Balistreri,86,Second International Summit on Human Genome Editing (2018),89,Fryeburg Academy,,,,,,,,,,,,,,
702,United States of America,85,UN Climate Change Conference (2020),89,Fryeburg Academy,,,,,,,,,,,,,,
707,China,85,UN Climate Change Conference (2020),89,Fryeburg Academy,,,,,,,,,,,,,,
246,Bahrain,107,UN Women,89,Fryeburg Academy,,,,,,,,,,,,,,
555,"Gavin Robinson, DUP Westminster Spokesperson for Defense and Home Affairs",93,Brexit,117,Greenwich Academy,,,,,,,,,,,,,,
688,Ambassador Bianchi,88,Congress of Lutsk (1429) ,117,Greenwich Academy,,,,,,,,,,,,,,
693,Delegate Aswin,88,Congress of Lutsk (1429) ,117,Greenwich Academy,,,,,,,,,,,,,,
629,Spain,84,Congress of Panama (1826),117,Greenwich Academy,,,,,,,,,,,,,,
639,Great Britain,84,Congress of Panama (1826),117,Greenwich Academy,,,,,,,,,,,,,,
535,Barbara Jordan - Texas,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),117,Greenwich Academy,,,,,,,,,,,,,,
66,India ,97,Disarmament and International Security Committee,117,Greenwich Academy,,,,,,,,,,,,,,
65,Japan ,97,Disarmament and International Security Committee,117,Greenwich Academy,,,,,,,,,,,,,,
162,Bulgaria,99,European Union,117,Greenwich Academy,,,,,,,,,,,,,,
163,Croatia,99,European Union,117,Greenwich Academy,,,,,,,,,,,,,,
